scenario_name,fold,approach,normalized_par_10
QBF-2014,5.0,ours,inf
QBF-2014,6.0,ours,inf
QBF-2014,7.0,ours,inf
QBF-2014,8.0,ours,inf
QBF-2014,9.0,ours,inf
QBF-2014,10.0,ours,inf
QBF-2016,1.0,ours,inf
QBF-2016,2.0,ours,inf
QBF-2016,3.0,ours,inf
QBF-2016,4.0,ours,inf
QBF-2016,5.0,ours,inf
QBF-2016,6.0,ours,inf
QBF-2016,7.0,ours,inf
QBF-2016,8.0,ours,inf
QBF-2016,9.0,ours,inf
QBF-2016,10.0,ours,inf
SAT03-16_INDU,1.0,ours,inf
SAT03-16_INDU,2.0,ours,inf
SAT03-16_INDU,3.0,ours,inf
SAT03-16_INDU,4.0,ours,inf
SAT03-16_INDU,5.0,ours,inf
SAT03-16_INDU,6.0,ours,inf
SAT03-16_INDU,7.0,ours,inf
SAT03-16_INDU,8.0,ours,inf
SAT03-16_INDU,9.0,ours,inf
SAT03-16_INDU,10.0,ours,inf
SAT11-HAND,1.0,ours,inf
SAT11-HAND,2.0,ours,inf
SAT11-HAND,3.0,ours,inf
SAT11-HAND,4.0,ours,inf
SAT11-HAND,5.0,ours,inf
SAT11-HAND,6.0,ours,inf
SAT11-HAND,7.0,ours,inf
SAT11-HAND,8.0,ours,inf
SAT11-HAND,9.0,ours,inf
SAT11-HAND,10.0,ours,inf
SAT11-INDU,1.0,ours,inf
SAT11-INDU,2.0,ours,inf
SAT11-INDU,3.0,ours,inf
SAT11-INDU,4.0,ours,inf
SAT11-INDU,5.0,ours,inf
SAT11-INDU,6.0,ours,inf
SAT11-INDU,7.0,ours,inf
SAT11-INDU,8.0,ours,inf
SAT11-INDU,9.0,ours,inf
SAT11-INDU,10.0,ours,inf
SAT11-RAND,1.0,ours,inf
SAT11-RAND,2.0,ours,inf
SAT11-RAND,3.0,ours,inf
SAT11-RAND,4.0,ours,inf
SAT11-RAND,5.0,ours,inf
SAT11-RAND,6.0,ours,inf
SAT11-RAND,7.0,ours,inf
SAT11-RAND,8.0,ours,inf
