approach,fold,metric,num_solvers_in_schedule,result,scenario_name
oracle,1.0,par10,,55.86,SAT12-RAND
sbs,1.0,par10,,2871.76,SAT15-INDU
sbs,1.0,number_unsolved_instances_False,,0.07,SAT15-INDU
sbs,1.0,number_unsolved_instances_True,,0.07,SAT15-INDU
oracle,1.0,par10,,181.61,SAT15-INDU
sbs,2.0,par10,,421.94,ASP-POTASSCO
sbs,2.0,number_unsolved_instances_False,,0.07,ASP-POTASSCO
sbs,2.0,number_unsolved_instances_True,,0.07,ASP-POTASSCO
sbs,1.0,par10,,41.38,TSP-LION2015
sbs,1.0,number_unsolved_instances_False,,0.0,TSP-LION2015
sbs,1.0,number_unsolved_instances_True,,0.0,TSP-LION2015
sbs,2.0,par10,,5171.78,BNSL-2016
sbs,2.0,number_unsolved_instances_False,,0.07,BNSL-2016
sbs,2.0,number_unsolved_instances_True,,0.07,BNSL-2016
sbs,2.0,par10,,7729.64,CPMP-2015
sbs,2.0,number_unsolved_instances_False,,0.21,CPMP-2015
sbs,2.0,number_unsolved_instances_True,,0.21,CPMP-2015
sbs,2.0,par10,,1436.26,CSP-2010
sbs,2.0,number_unsolved_instances_False,,0.03,CSP-2010
sbs,2.0,number_unsolved_instances_True,,0.03,CSP-2010
oracle,2.0,par10,,137.17,CSP-2010
sbs,2.0,par10,,7045.3,CSP-MZN-2013
sbs,2.0,number_unsolved_instances_False,,0.39,CSP-MZN-2013
sbs,2.0,number_unsolved_instances_True,,0.39,CSP-MZN-2013
oracle,2.0,par10,,123.12,CSP-MZN-2013
sbs,2.0,par10,,1544.47,CSP-Minizinc-Time-2016
sbs,2.0,number_unsolved_instances_False,,0.12,CSP-Minizinc-Time-2016
sbs,2.0,number_unsolved_instances_True,,0.12,CSP-Minizinc-Time-2016
oracle,2.0,par10,,29.39,CSP-Minizinc-Time-2016
sbs,2.0,par10,,16512625.4,GRAPHS-2015
sbs,2.0,number_unsolved_instances_False,,0.02,GRAPHS-2015
sbs,2.0,number_unsolved_instances_True,,0.02,GRAPHS-2015
sbs,2.0,par10,,769.22,MAXSAT-PMS-2016
sbs,2.0,number_unsolved_instances_False,,0.04,MAXSAT-PMS-2016
sbs,2.0,number_unsolved_instances_True,,0.04,MAXSAT-PMS-2016
oracle,2.0,par10,,65.09,MAXSAT-PMS-2016
sbs,2.0,par10,,2025.38,MAXSAT-WPMS-2016
sbs,2.0,number_unsolved_instances_False,,0.11,MAXSAT-WPMS-2016
sbs,2.0,number_unsolved_instances_True,,0.11,MAXSAT-WPMS-2016
oracle,2.0,par10,,67.53,MAXSAT-WPMS-2016
sbs,2.0,par10,,1436.73,MAXSAT12-PMS
sbs,2.0,number_unsolved_instances_False,,0.06,MAXSAT12-PMS
sbs,2.0,number_unsolved_instances_True,,0.06,MAXSAT12-PMS
oracle,2.0,par10,,51.08,MAXSAT12-PMS
sbs,2.0,par10,,1914.27,MAXSAT15-PMS-INDU
sbs,2.0,number_unsolved_instances_False,,0.1,MAXSAT15-PMS-INDU
sbs,2.0,number_unsolved_instances_True,,0.1,MAXSAT15-PMS-INDU
oracle,2.0,par10,,18.4,MAXSAT15-PMS-INDU
sbs,2.0,par10,,383.36,MIP-2016
sbs,2.0,number_unsolved_instances_False,,0.0,MIP-2016
sbs,2.0,number_unsolved_instances_True,,0.0,MIP-2016
oracle,2.0,par10,,297.23,MIP-2016
sbs,2.0,par10,,9310.94,PROTEUS-2014
sbs,2.0,number_unsolved_instances_False,,0.26,PROTEUS-2014
sbs,2.0,number_unsolved_instances_True,,0.26,PROTEUS-2014
oracle,2.0,par10,,82.87,QBF-2011
sbs,2.0,par10,,9108.82,QBF-2011
sbs,2.0,number_unsolved_instances_False,,0.25,QBF-2011
sbs,2.0,number_unsolved_instances_True,,0.25,QBF-2011
sbs,2.0,par10,,2356.54,QBF-2014
sbs,2.0,number_unsolved_instances_False,,0.26,QBF-2014
sbs,2.0,number_unsolved_instances_True,,0.26,QBF-2014
oracle,2.0,par10,,33.87,QBF-2014
sbs,2.0,par10,,2803.87,QBF-2016
sbs,2.0,number_unsolved_instances_False,,0.15,QBF-2016
sbs,2.0,number_unsolved_instances_True,,0.15,QBF-2016
oracle,2.0,par10,,16.51,QBF-2016
